MMSI#;IMO#;Kallesignal;Skipsnavn;Passeringer;Tidspunkt (UTC);Skipstype;BT;DWT;L;B;H;D;Land
257605010;0;;;1;04.05.2021 21:30;;;;0;0;0;0;
314543000;0;;;1;04.05.2021 00:16;;;;0;0;0;0;
258211570;0;;;1;05.05.2021 10:15;;;;0;0;0;0;
257640790;0;;;1;06.05.2021 15:15;;;;0;0;0;0;
257947600;0;;;1;06.05.2021 20:30;;;;0;0;0;0;
258234740;0;;;1;06.05.2021 15:00;;;;0;0;0;0;
257103540;0;;;1;07.05.2021 12:30;;;;0;0;0;0;
257784540;0;;;1;07.05.2021 12:31;;;;0;0;0;0;
258333170;0;;;1;07.05.2021 10:46;;;;0;0;0;0;
257065070;0;;;1;08.05.2021 12:48;;;;0;0;0;0;
257106510;0;;;1;08.05.2021 17:00;;;;0;0;0;0;
257106510;0;;;1;08.05.2021 17:56;;;;0;0;0;0;
257511700;0;;;1;08.05.2021 12:46;;;;0;0;0;0;
258267020;0;;;1;08.05.2021 16:28;;;;0;0;0;0;
258267020;0;;;1;08.05.2021 17:21;;;;0;0;0;0;
257615580;0;;;1;09.05.2021 21:00;;;;0;0;0;0;
257766810;0;;;1;09.05.2021 16:15;;;;0;0;0;0;
257784540;0;;;1;09.05.2021 16:16;;;;0;0;0;0;
257125250;0;;;1;26.03.2021 14:30;;;;0;0;0;0;
257947600;0;;;1;09.05.2021 13:46;;;;0;0;0;0;
258087690;0;;;1;09.05.2021 13:31;;;;0;0;0;0;
257075170;0;;;1;10.05.2021 13:15;;;;0;0;0;0;
257471900;0;;;1;10.05.2021 13:15;;;;0;0;0;0;
257830830;0;;;1;10.05.2021 06:15;;;;0;0;0;0;
258006930;0;;;1;10.05.2021 02:00;;;;0;0;0;0;
258006930;0;;;1;10.05.2021 09:30;;;;0;0;0;0;
258007280;0;;;1;10.05.2021 07:45;;;;0;0;0;0;
258007280;0;;;1;10.05.2021 13:45;;;;0;0;0;0;
257063930;0;;;1;11.05.2021 15:16;;;;0;0;0;0;
257063930;0;;;1;11.05.2021 18:34;;;;0;0;0;0;
257008070;0;;;1;26.03.2021 17:31;;;;0;0;0;0;
257487800;0;;;1;11.05.2021 18:00;;;;0;0;0;0;
257004240;0;;BOREAS;1;26.03.2021 13:30;;;;11;0;0;1,5;
257490000;0;;;1;11.05.2021 08:15;;;;0;0;0;0;
257737000;0;;;1;11.05.2021 18:00;;;;0;0;0;0;
257830830;0;;;1;11.05.2021 05:46;;;;0;0;0;0;
257051110;0;;;1;12.05.2021 12:15;;;;0;0;0;0;
257490000;0;;;1;12.05.2021 19:00;;;;0;0;0;0;
257579870;0;;;1;12.05.2021 22:46;;;;0;0;0;0;
257694610;0;;;1;12.05.2021 17:45;;;;0;0;0;0;
257737000;0;;;1;12.05.2021 17:55;;;;0;0;0;0;
257840680;0;;;1;12.05.2021 23:31;;;;0;0;0;0;
